case_id,group,priority,control_or_pair,changed_variable,shape_side_reference_relation,region_relation,region_values_mm,expected_constraint_mm,expected_source,question_answered
sr015,G1,P0,c008 variant,R1 edge position,on_edge,single,"default=0.11;R1=0.21",0.21,R1,"Is non-vertex boundary effective?"
sr016,G1,P0,sr015,R1 shifted epsilon outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Does outside fall back even when visually near boundary?"
sr017,G1,P1,sr015,R1 shifted epsilon inside,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does inside behave same as boundary?"
sr018,G1,P1,c004 variant,line kept outside R1,on_vertex,single,"default=0.11;R1=0.21",0.21,R1,"Does vertex boundary work without overall cross?"
sr019,G1,P0,new,line marker inside but shape reference outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Is line-side marker irrelevant?"
sr020,G1,P0,sr019 inverse,line marker outside but shape reference inside,inside,single,"default=0.11;R1=0.21",0.21,R1,"Is shape-side reference decisive?"
sr021,G2,P1,new,nearest point on straight edge interior,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does edge midpoint follow membership?"
sr022,G2,P1,sr021,R1 moved outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Straight edge outside control"
sr023,G2,P1,c007 variant,nearest point on arc interior,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does arc point follow membership?"
sr024,G2,P1,sr023,R1 moved outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Arc outside control"
sr025,G2,P2,new,nearest point is concave vertex,inside,single,"default=0.11;R1=0.21",0.21,R1,"Does concave vertex follow membership?"
sr026,G2,P2,sr025,R1 moved outside,outside,single,"default=0.11;R1=0.21",0.11,DEFAULT,"Concave vertex outside control"
sr027,G3,P0,c002 variant,overall crosses but reference outside,outside,cross,"default=0.11;R1=0.21",0.11,DEFAULT,"Does overall cross fail as sufficient condition?"
sr028,G3,P0,c004/c018 variant,overall no cross but reference inside,inside,no_cross,"default=0.11;R1=0.21",0.21,R1,"Can region apply without line crossing region?"
sr029,G3,P1,new,shape mostly inside but reference outside,outside,mostly_inside,"default=0.11;R1=0.21",0.11,DEFAULT,"Is whole-shape inclusion insufficient?"
sr030,G3,P1,new,shape mostly outside but reference inside,inside,mostly_outside,"default=0.11;R1=0.21",0.21,R1,"Is local reference sufficient?"
sr031,G4,P0,c009/c010 variant,upper half of equal-gap band covered,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Where does Allegro choose representative point?"
sr032,G4,P0,sr031,lower half of equal-gap band covered,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Complement representative point test"
sr033,G4,P1,sr031,middle of equal-gap band covered,unknown,single,"default=0.11;R1=0.21",UNKNOWN,UNKNOWN,"Is representative point centered?"
sr034,G4,P1,sr031,line direction reversed,unknown,single,"default=0.11;R1=0.21",SAME_AS_SR031,SAME_AS_SR031,"Is selection line-direction independent?"
sr035,G4,P2,sr031,shape vertex order reversed,unknown,single,"default=0.11;R1=0.21",SAME_AS_SR031,SAME_AS_SR031,"Is selection polygon-order independent?"
