"case_id","group","priority","marker_x","marker_y","required_mil","actual_mil","observed_source","observed_source_kind","expected_source_kind","expectation_status","shape_side_reference_relation","region_relation","question_answered"
"SR015","G1","P0","550","530","21","10","SR015_R1_CSET","R1","R1","match","on_edge","single","Is non-vertex boundary effective?"
"SR016","G1","P0","1300","530","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","single","Does outside fall back even when visually near boundary?"
"SR017","G1","P1","2050","530","21","10","SR017_R1_CSET","R1","R1","match","inside","single","Does inside behave same as boundary?"
"SR018","G1","P1","2800","530","21","10","SR018_R1_CSET","R1","R1","match","on_vertex","single","Does vertex boundary work without overall cross?"
"SR019","G1","P0","3550","530","21","10","SR019_R1_CSET","R1","DEFAULT","mismatch","outside","single","Is line-side marker irrelevant?"
"SR020","G1","P0","4300","530","21","10","SR020_R1_CSET","R1","R1","match","inside","single","Is shape-side reference decisive?"
"SR021","G2","P1","550","1050","21","10","SR021_R1_CSET","R1","R1","match","inside","single","Does edge midpoint follow membership?"
"SR022","G2","P1","1300","1050","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","single","Straight edge outside control"
"SR023","G2","P1","2050","1050","21","10","SR023_R1_CSET","R1","R1","match","inside","single","Does arc point follow membership?"
"SR024","G2","P1","2800","1050","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","single","Arc outside control"
"SR025","G2","P2","3550","1050","21","10","SR025_R1_CSET","R1","R1","match","inside","single","Does concave vertex follow membership?"
"SR026","G2","P2","4300","1050","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","single","Concave vertex outside control"
"SR027","G3","P0","550","1570","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","cross","Does overall cross fail as sufficient condition?"
"SR028","G3","P0","1300","1570","21","10","SR028_R1_CSET","R1","R1","match","inside","no_cross","Can region apply without line crossing region?"
"SR029","G3","P1","2050","1570","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","mostly_inside","Is whole-shape inclusion insufficient?"
"SR030","G3","P1","2789.5","1570","21","10","SR030_R1_CSET","R1","R1","match","inside","mostly_outside","Is local reference sufficient?"
"SR031","G4","P0","3550","1570","11","10","DEFAULT","DEFAULT","UNKNOWN","exploratory","unknown","single","Where does Allegro choose representative point?"
"SR032","G4","P0","4300","1570","11","10","DEFAULT","DEFAULT","UNKNOWN","exploratory","unknown","single","Complement representative point test"
"SR033","G4","P1","550","2090","21","10","SR033_R1_CSET","R1","UNKNOWN","exploratory","unknown","single","Is representative point centered?"
"SR034","G4","P1","1300","2090","11","10","DEFAULT","DEFAULT","SAME_AS_SR031","exploratory","unknown","single","Is selection line-direction independent?"
"SR035","G4","P2","2050","2090","11","10","DEFAULT","DEFAULT","SAME_AS_SR031","exploratory","unknown","single","Is selection polygon-order independent?"
"SR036","G4","P1","2800","2090","21","10","SR036_R1_CSET","R1","UNKNOWN","exploratory","unknown","single","How are disconnected equal minima resolved?"
"SR037","G4","P0","3550","2090","21","10","SR037_R1_CSET","R1","R1","match","inside","single","Does strict geometric minimum dominate?"
"SR038","G4","P0","4300","2090","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","single","Does near-equal region hit lose to true minimum?"
"SR039","G5","P0","550","2610","22","10","SR039_R1_CSET","R1","R1","match","inside_both","overlap_non_nested","Do non-nested effective regions choose stricter value?"
"SR040","G5","P0","1300","2610","22","10","SR040_R2_CSET","R2","R2","match","inside_both","overlap_non_nested","Is result independent of region name?"
"SR041","G5","P1","2050","2610","22","10","SR041_R2_CSET","R2","R2","match","on_boundary_both","touch_edge","Are two boundary hits both effective?"
"SR042","G5","P1","2800","2610","22","10","SR042_R2_CSET","R2","R2","match","on_boundary_both","touch_vertex","Are shared vertex hits both effective?"
"SR043","G5","P0","3550","2610","22","10","SR043_R2_CSET","R2","UNKNOWN","exploratory","inside_R1_boundary_R2","non_nested","Does inside outrank boundary or stricter value?"
"SR044","G5","P0","4300","2610","22","10","SR044_R1_CSET","R1","UNKNOWN","exploratory","boundary_R1_inside_R2","non_nested","Inside/boundary inverse control"
"SR045","G5","P2","550","3130","22","10","SR045_R2_CSET","R2","R2","match","inside_both","overlap_non_nested","Does creation order matter?"
"SR046","G5","P2","1300","3130","22","10","SR046_R2_CSET","R2","R2","match","inside_both","overlap_non_nested","Creation-order inverse"
"SR047","G6","P0","2050","3130","22","10","SR047_R2_CSET","R2","R1","mismatch","inside_both","nested","Does inner priority beat stricter outer?"
"SR048","G6","P0","2800","3130","22","10","SR048_R1_CSET","R1","R1","match","inside_both","nested","Does same inner priority hold after value swap?"
"SR049","G6","P0","3550","3130","22","10","SR049_R2_CSET","R2","R2","match","inside_outer_only","nested","Does outer apply when inner not effective?"
"SR050","G6","P1","4300","3130","22","10","SR050_R2_CSET","R2","R1","mismatch","boundary_inner_inside_outer","nested","Is inner boundary effective under nesting?"
"SR051","G6","P2","550","3650","22","10","SR051_R2_CSET","R2","UNKNOWN","exploratory","boundary_mix","nested_touching","How do nested boundary cases arbitrate?"
"SR052","G6","P1","1300","3650","22","10","SR052_R2_CSET","R2","R1","mismatch","inside_all","nested_3","Is specificity recursive?"
"SR053","G6","P3","2050","3650","22","10","SR053_R2_CSET","R2","UNKNOWN","exploratory","custom","nested_complex","Can non-simple region topology affect priority?"
"SR054","G7","P1","2789.5","3650","21","10","SR054_R1_CSET","R1","R1","match","inside","single","Boundary tolerance inside side"
"SR055","G7","P1","3550","3650","21","10","SR055_R1_CSET","R1","R1","match","on_edge","single","Exact boundary baseline"
"SR056","G7","P1","4300","3650","11","10","DEFAULT","DEFAULT","DEFAULT","match","outside","single","Boundary tolerance outside side"
"SR057","G7","P2","550","4170","21","10","SR057_R1_CSET","R1","UNKNOWN","exploratory","near_boundary","single","Arc tangent tolerance behavior"
